gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.246329,0.684448,0.93952,5.94718,1.0139
0.248769,0.643969,0.875698,5.93565,1.00478
0.267744,0.659518,0.900314,5.93631,1.0021
0.24876,0.658955,0.940792,5.93525,1.01746
0.254116,0.669301,0.978613,5.92496,1.02242
0.25884,0.671595,0.968683,5.91927,1.01113
0.250068,0.6783,1.00319,5.93603,0.988501
0.255595,0.664408,0.94942,5.9296,1.01135
0.250259,0.673344,0.889254,5.92797,0.999064
0.25175,0.665341,0.910492,5.91059,1.00535
0.268089,0.666367,0.968698,5.92594,0.999997
0.252288,0.676092,0.924772,5.91854,0.99157
0.264449,0.662359,0.926276,5.92625,1.00495
0.258339,0.680568,0.956245,5.93725,1.01006
0.248689,0.671415,0.959349,5.9195,1.00222
0.254953,0.655955,1.02142,5.94543,0.997973
0.250632,0.671076,0.998091,5.92401,1.01163
0.265877,0.65865,0.865143,5.93069,1.00766
0.259399,0.643675,0.89186,5.93464,1.00965
0.25703,0.662417,0.880972,5.93544,1.00534
0.26073,0.687435,0.911313,5.91954,0.996759
0.253848,0.67133,0.89508,5.91606,1.00658
0.255834,0.671024,0.979798,5.93532,1.01436
0.260813,0.681385,0.877657,5.93036,1.00147
0.2476,0.682969,0.910996,5.93248,0.986815
0.253742,0.664689,0.949818,5.91708,0.999605
0.244662,0.681954,0.949461,5.93171,0.993624
0.264522,0.656903,0.863786,5.91454,1.00432
0.243816,0.679381,0.955519,5.9216,1.00572
0.267375,0.660948,0.924842,5.94413,1.00526
0.263408,0.679451,0.915289,5.94671,1.00002
0.262049,0.6664,0.951259,5.922,1.00566
0.263261,0.680029,0.936371,5.91885,1.02014
0.246388,0.671846,0.883707,5.93476,0.991798
0.243688,0.673179,0.910428,5.92078,1.00412
0.254182,0.670728,1.00611,5.93427,1.00021
0.261095,0.655395,0.933627,5.92193,0.996976
0.261803,0.672876,0.944871,5.9206,1.00246
0.252577,0.667599,0.949765,5.93846,1.01471
0.260735,0.656202,1.02646,5.92928,1.00614
0.255319,0.669404,0.954267,5.93549,0.999957
0.255299,0.672705,0.959802,5.92856,1.00372
0.257145,0.668057,0.856289,5.94165,1.00424
0.256457,0.667749,0.941919,5.9253,1.00819
0.258942,0.657968,0.952683,5.92415,1.00089
0.25628,0.681311,0.912399,5.89211,0.98871
0.251674,0.682836,0.979875,5.95666,1.00479
0.243243,0.665332,0.913277,5.93994,1.01112
0.275659,0.652712,0.928235,5.93395,0.990614
0.26332,0.688367,1.01666,5.9366,1.00484
0.271016,0.674874,1.00546,5.93256,1.00327
0.260186,0.677333,1.00116,5.91706,1.00723
0.255474,0.689416,0.905109,5.92922,1.01003
0.259318,0.665976,0.932233,5.92007,1.00698
0.267813,0.666976,0.987412,5.93232,0.995542
0.251152,0.679295,0.922434,5.93392,0.994483
0.252124,0.673767,0.883543,5.92019,1.00073
0.256067,0.666941,0.923802,5.92646,1.01693
0.256958,0.676415,0.912339,5.9238,1.01928
0.248585,0.661735,0.931179,5.93022,1.00774
0.256349,0.674497,0.847863,5.93961,0.999841
0.254563,0.672491,0.895279,5.92107,0.998896
0.245584,0.678243,0.910215,5.93767,1.00749
0.250157,0.663703,1.0012,5.93384,1.01308
0.256805,0.671845,0.852098,5.93843,0.993563
0.248886,0.672475,0.920296,5.92988,1.00548
0.260762,0.665733,0.904593,5.92308,1.01796
0.241436,0.681471,0.923869,5.92121,0.998398
0.255817,0.658272,0.924001,5.91569,1.00586
0.255584,0.674038,0.853006,5.91376,1.00338
0.261119,0.678033,0.923094,5.91784,1.01014
0.247304,0.649222,0.976641,5.94514,1.0075
0.251767,0.671034,0.909181,5.92369,1.00247
0.256487,0.650878,0.897572,5.93591,0.99629
0.259769,0.657912,0.981066,5.9383,0.994812
0.259327,0.652142,0.873833,5.92576,1.00104
0.24767,0.659697,0.910987,5.92985,1.0202
0.252978,0.688757,0.831538,5.93585,1.0038
0.255418,0.675252,0.981764,5.92076,1.01239
0.258587,0.674291,0.932944,5.9336,1.00853
0.261208,0.669704,0.955434,5.95516,1.01261
0.256961,0.658157,0.952568,5.92614,1.0073
0.266951,0.657225,0.96091,5.91712,1.00083
0.258428,0.689864,0.866675,5.91481,0.992732
0.267531,0.665176,0.92841,5.93677,1.02281
0.258196,0.677767,0.94135,5.94755,0.995237
0.25709,0.66727,0.926282,5.92905,1.01823
0.250286,0.662498,0.964431,5.91424,1.00698
0.244858,0.676857,0.923117,5.93899,1.00537
0.257253,0.654338,0.871976,5.93308,1.00763
0.259263,0.680735,0.951008,5.93736,1.00898
0.25632,0.649079,0.923569,5.9155,0.995031
0.259099,0.692581,0.872229,5.92707,0.99848
0.245809,0.668513,0.87435,5.94869,1.00714
0.261647,0.669467,0.870999,5.93003,0.997923
0.249264,0.679567,0.843424,5.92517,1.00188
0.261616,0.697204,0.91731,5.90615,1.00308
0.261981,0.660435,0.907582,5.9158,1.01959
0.243442,0.659471,0.8927,5.94572,1.00067
0.251926,0.66387,0.970606,5.93098,1.01648
0.264734,0.687377,0.870445,5.90366,1.03223
0.257114,0.665299,0.897087,5.9274,0.995521
0.243008,0.654984,0.930674,5.92861,1.0016
0.259769,0.671881,0.984442,5.9141,1.00119
0.257472,0.67595,0.964526,5.93237,1.00051
0.247362,0.660615,0.929287,5.90613,1.01529
0.250764,0.662948,0.916037,5.91644,1.00006
0.268371,0.671846,0.885378,5.91888,1.00395
0.251122,0.672407,0.948225,5.94802,0.99581
0.253959,0.679592,0.870965,5.9279,1.01192
0.246273,0.681111,0.978762,5.92366,1.01491
0.248588,0.684426,0.955926,5.93753,1.01323
0.255758,0.683851,1.02206,5.9217,1.00255
0.251645,0.667553,0.943721,5.92892,0.997142
0.242475,0.68186,0.876609,5.94077,1.0121
0.249764,0.658516,0.911666,5.93583,0.998234
0.26704,0.665533,0.954394,5.91445,1.0068
0.268332,0.661602,0.960292,5.92666,0.999082
0.246798,0.667661,0.913101,5.94932,1.00994
0.257237,0.668503,1.01412,5.935,1.01049
0.239373,0.683563,0.963191,5.93436,1.00573
0.247436,0.666285,0.957302,5.94048,1.00227
0.267,0.661283,0.997051,5.90485,1.01387
0.244655,0.656879,0.980069,5.92176,1.00308
0.248035,0.679903,0.919843,5.93431,1.00657
0.244082,0.674473,0.932967,5.93221,1.00558
0.264818,0.65061,0.910639,5.93734,1.00711
0.259462,0.671069,0.965995,5.91186,0.98785
0.251503,0.661167,1.00522,5.94486,0.999933
0.250734,0.656739,0.969627,5.93051,1.00191
0.24542,0.673208,0.960814,5.93551,1.00597
0.239888,0.674244,0.886774,5.94589,1.00578
0.257144,0.674338,0.905816,5.91871,1.01596
0.248373,0.669894,0.908507,5.93226,1.00589
0.259163,0.65846,0.962494,5.91709,0.995209
0.25802,0.674219,0.888852,5.93057,1.01524
0.26188,0.662976,0.936032,5.93236,1.02149
0.26247,0.664469,1.05527,5.92695,0.996321
0.234554,0.686292,1.06155,5.91586,1.00867
0.25888,0.689597,0.894912,5.93919,1.0025
0.254083,0.649589,0.934004,5.91574,1.00438
0.243605,0.667972,0.962263,5.91678,1.00965
0.261692,0.680239,0.855478,5.94222,1.00419
0.251126,0.656105,0.942447,5.91239,0.999858
0.250245,0.675409,0.969547,5.93327,1.01585
0.256868,0.664981,0.90046,5.95088,1.01165
0.252209,0.662633,0.898332,5.92415,1.00255
0.252463,0.668561,0.86516,5.92316,1.0084
0.276356,0.671023,0.895719,5.93156,1.01484
0.253072,0.680889,0.93719,5.92314,1.00961
0.256422,0.673064,0.950433,5.94025,0.999518
0.261356,0.663616,0.955382,5.9259,1.01263
0.248453,0.683917,1.00344,5.93727,1.00057
0.260195,0.668555,0.872044,5.94101,0.999594
0.254562,0.683669,1.0008,5.92942,1.00993
0.259206,0.663906,1.01256,5.93017,1.01167
0.263617,0.662458,0.911728,5.91751,1.01266
0.261648,0.668792,0.977658,5.92629,1.00784
0.255437,0.68127,0.94695,5.94655,1.00285
0.25484,0.691737,0.955512,5.94001,1.0008
0.245661,0.668379,0.957237,5.90961,1.01898
0.257217,0.693431,0.945307,5.92537,1.00567
0.258791,0.681138,1.00366,5.91567,0.993891
0.243418,0.684649,0.960544,5.92548,1.01248
0.246417,0.666168,1.00453,5.91814,1.00569
0.240354,0.655685,1.00167,5.93912,1.01553
0.258002,0.657688,0.885505,5.91253,0.996649
0.255957,0.672467,0.825197,5.89493,1.00893
0.252469,0.671874,0.98588,5.93379,1.00282
0.250853,0.680611,0.943031,5.93178,0.994788
0.253815,0.684804,0.931574,5.92144,1.01805
0.261873,0.660266,0.90889,5.93002,1.01101
0.261862,0.667025,0.94065,5.91934,1.00507
0.245797,0.671773,0.935279,5.93539,1.01658
0.247424,0.672199,0.966876,5.9455,1.00419
0.254235,0.648399,0.941612,5.93433,1.00628
0.254941,0.662043,0.857435,5.92294,1.0083
0.268339,0.663861,0.886719,5.94391,1.01539
0.261164,0.659201,0.890891,5.92902,0.999027
0.267735,0.66572,0.990221,5.92987,1.00736
0.248691,0.676904,0.895227,5.93224,1.00214
0.264545,0.666464,0.998604,5.92613,1.00254
0.255937,0.682492,0.964469,5.93393,1.00945
0.25898,0.659791,0.909886,5.94516,1.0024
0.243505,0.659365,0.865323,5.91931,1.00786
0.246015,0.662526,0.852167,5.94076,1.01145
0.265274,0.675591,0.967014,5.93317,1.00348
0.247702,0.695448,0.941023,5.91475,0.998006
0.258317,0.658073,0.867173,5.91149,1.01128
0.25254,0.658376,0.906655,5.91182,1.00645
0.249165,0.686953,0.96775,5.90679,1.03236
0.265167,0.671753,0.917516,5.90823,1.00673
0.252082,0.673376,0.869012,5.90348,1.00497
0.263354,0.673398,1.00243,5.92918,1.01113
0.2505,0.668118,0.939045,5.92523,1.01439
0.259599,0.65851,0.914114,5.92361,0.999109
0.257848,0.662058,0.856241,5.91806,1.02254
0.247591,0.669844,0.9659,5.91788,1.00605
0.246293,0.682856,0.980652,5.93358,0.998379
0.258551,0.665474,1.01332,5.92795,1.02557
0.255509,0.679566,0.898347,5.9091,0.987804
0.25594,0.673511,0.910762,5.94,1.01009
0.263867,0.671306,0.906324,5.91486,0.996225
0.25505,0.685896,0.978789,5.92662,0.998288
0.258374,0.665783,0.958465,5.94023,0.995303
0.259447,0.668357,0.907426,5.93499,1.00921
0.253012,0.667454,0.896512,5.92341,0.996629
0.264764,0.696202,0.91339,5.9199,1.00831
0.245245,0.664874,1.00173,5.9384,0.989119
0.264854,0.68168,0.914772,5.93801,1.01014
0.251491,0.668555,0.918313,5.92863,1.01037
0.259227,0.684592,0.902655,5.92727,1.00688
0.242836,0.664311,0.992076,5.93057,1.00826
0.253718,0.6698,0.909854,5.92178,1.01694
0.249605,0.666953,0.896437,5.91949,0.996863
0.244468,0.658739,0.945422,5.91969,1.00257
0.249365,0.685307,0.897782,5.94491,1.00567
0.258789,0.672273,0.942825,5.92366,0.990695
0.239853,0.692793,0.894865,5.93447,1.02625
0.255018,0.677113,0.93587,5.93504,0.997235
0.246784,0.671561,0.900854,5.93372,0.999756
0.251516,0.673584,0.957067,5.93199,1.00782
0.257074,0.65821,0.875046,5.9239,0.988282
0.257008,0.668638,0.917688,5.93476,1.00992
0.270573,0.651659,0.947019,5.91443,1.01022
0.236885,0.677059,1.07994,5.94503,1.00517
