i,mean,sd,q05,q50,q95,neff,rhat
201,0.112948,0.968835,-1.49145,0.101281,1.82061,1368.02,0.997704
202,0.189918,0.977696,-1.4326,0.235779,1.80334,1666.89,0.997249
203,0.208746,0.967988,-1.46079,0.229894,1.86224,1636.81,0.99928
204,-0.245773,1.0273,-1.90155,-0.245294,1.35796,758.893,1.00093
205,-0.322078,0.918518,-1.81133,-0.371168,1.15872,1515.5,0.99699
206,-0.280357,0.825583,-1.65855,-0.26814,1.00264,1512.08,0.998135
207,0.36457,0.835445,-0.894171,0.371028,1.59872,1445.36,0.999757
208,-0.464977,1.04846,-2.1128,-0.483439,1.2247,1310.15,0.999089
209,0.180212,1.02107,-1.42709,0.210484,1.76535,1178.29,0.9986
210,0.573346,0.839557,-0.695684,0.561924,1.98831,1628.92,0.99777
211,-0.373887,0.914022,-1.83119,-0.397189,1.21293,858.165,1.00258
212,-0.293471,0.959825,-1.87065,-0.318207,1.41384,885.378,0.998763
213,-0.261644,0.943238,-1.8066,-0.290831,1.35787,1666.89,0.997682
214,0.977668,0.824703,-0.274256,0.957202,2.34512,1243.24,0.997626
215,0.170156,0.944161,-1.43767,0.210191,1.66555,1666.89,0.997601
216,-0.262625,0.981999,-1.93518,-0.235352,1.4199,1666.89,0.996932
217,0.236873,0.887797,-1.11983,0.199113,1.78217,1379.09,0.997895
218,-0.25509,0.929337,-1.76732,-0.277754,1.28435,1209.58,0.997569
219,-0.541986,0.990211,-2.18123,-0.546324,1.06783,1666.89,0.997049
220,0.478937,0.9186,-0.975445,0.468984,2.01692,1625.32,0.998289
221,0.197906,1.03255,-1.57508,0.240319,1.90536,1666.89,0.997671
222,-0.262105,0.921918,-1.72594,-0.283082,1.2874,1392.89,0.998106
223,0.259824,1.06408,-1.50147,0.249063,2.00684,1315.39,0.996897
224,0.350773,0.912341,-1.10447,0.373429,1.7978,1447.25,0.997024
225,-0.241778,0.722256,-1.39722,-0.242532,0.965427,892.797,1.00018
226,-0.240103,0.966141,-1.96783,-0.22391,1.46589,982.933,1.00269
227,0.22419,0.880159,-1.17255,0.232877,1.74901,1481.55,0.997275
228,0.378689,0.915414,-1.13713,0.416013,1.85976,1666.89,0.997101
229,0.38862,0.934563,-1.14332,0.382454,1.91297,1452.6,0.998287
230,0.240477,0.971113,-1.37159,0.255371,1.86183,1368.15,0.99783
231,-0.456344,0.809381,-1.71061,-0.456263,0.843749,1324.57,0.996891
232,0.228996,0.944657,-1.28544,0.258436,1.69368,1314.44,0.997449
233,0.115234,0.886612,-1.33478,0.119503,1.58127,1141.97,1.00013
234,-0.0516183,0.746693,-1.29659,-0.0810679,1.17955,1529.56,0.997335
235,0.318674,0.970398,-1.32436,0.343417,2.0062,1666.89,0.997329
236,-0.396453,0.920642,-1.93063,-0.399952,1.10014,1196.72,0.998785
237,-0.240568,0.749959,-1.43082,-0.245837,0.951963,1515.59,0.997217
238,-0.292507,0.954146,-1.7391,-0.331451,1.22514,1013.4,0.997596
239,0.320626,0.915861,-1.25161,0.304728,1.71427,1666.89,0.998507
240,0.128102,0.841966,-1.3137,0.137264,1.44106,1246.2,0.998454
241,-0.209631,0.923356,-1.84196,-0.209918,1.18647,1666.89,0.997017
242,-0.314005,0.949498,-1.85979,-0.307419,1.19123,1109.46,0.997165
243,-0.306144,0.950647,-1.84249,-0.310755,1.25801,1621.73,0.99723
244,0.356286,0.893586,-1.18355,0.385982,1.80876,1566.85,0.996849
245,0.0623788,0.989016,-1.63861,0.10011,1.72595,1504.16,0.996841
246,0.225821,0.902493,-1.29588,0.224572,1.65147,1452.25,0.998453
247,0.14477,0.891951,-1.2882,0.143887,1.63318,1461.02,1.00073
248,-0.202202,0.945487,-1.84834,-0.180447,1.31417,1666.89,0.997067
249,-0.193696,0.972057,-1.74135,-0.227783,1.5091,1103.71,0.997743
250,0.384505,1.06553,-1.44096,0.399658,2.06423,1666.89,0.996853
251,0.231931,1.03169,-1.50599,0.267891,1.89043,1469.69,0.99816
252,-0.0189519,0.958251,-1.61,-0.00306554,1.55648,1402.79,0.998755
253,-0.232592,0.98951,-1.86339,-0.236846,1.43805,1666.89,0.997248
254,0.207192,0.979969,-1.46523,0.220145,1.79475,1342.1,1.00016
255,-0.395023,0.957748,-1.96704,-0.365105,1.14416,1666.89,0.997148
256,0.174183,0.963392,-1.4349,0.128471,1.72027,1087.71,0.997326
257,-0.232785,1.04482,-1.90839,-0.256462,1.51073,1212.89,0.996933
258,0.150628,1.01655,-1.60743,0.170173,1.72912,1283.19,0.998001
259,-0.0561504,0.915644,-1.53223,-0.0542872,1.38682,1666.89,0.996927
260,-0.394533,0.965245,-1.96681,-0.416012,1.1039,908.148,1.00128
261,0.507361,1.07214,-1.18198,0.492252,2.2728,1092.04,0.998814
262,0.389171,0.881346,-1.08355,0.394358,1.82559,1211.66,1.00278
263,-0.32469,0.888899,-1.71368,-0.333209,1.23253,1434.84,0.997679
264,-0.193826,0.980633,-1.74901,-0.216521,1.45066,981.122,0.998095
265,-0.0074893,0.919247,-1.55341,-0.00183113,1.58548,1666.89,0.998166
