i,mean,sd,q05,q50,q95,neff,rhat
153,0.450561,0.628596,-0.622953,0.436235,1.62999,1159.75,1.00778
154,1.14,0.98295,-0.706463,1.91719,1.91739,1.33376,1.79304
155,0.268574,0.729881,-1.16769,0.41679,1.49052,52.0398,1.02757
156,0.0632364,0.707116,-0.747042,-0.248958,1.57424,3.41188,1.14822
157,-0.389834,0.743757,-1.83164,-0.128825,0.62904,5.78929,1.08667
158,0.119483,0.589437,-1.04803,0.2077,1.17261,324.768,1.01187
159,-0.633379,0.824722,-1.52283,-1.00078,1.08359,3.44942,1.15007
160,0.408412,0.730375,-1.11214,0.686573,1.28692,4.51104,1.10847
161,1.07462,0.935833,-0.71377,1.77891,1.77924,1.43292,1.65255
162,0.845444,0.781662,-0.853753,1.21463,1.65304,3.00502,1.17245
163,0.100668,0.658441,-1.22005,0.25554,1.0684,21.5771,1.03494
164,-0.226921,0.936772,-0.908759,-0.908225,1.62213,1.50535,1.57721
165,0.580829,0.565705,-0.356034,0.437932,1.69722,13.7152,1.04154
166,-0.62173,0.882684,-1.42447,-1.12535,1.27952,2.15641,1.2785
167,-0.0310623,0.673886,-1.34787,0.0804019,1.13904,82.6207,1.01524
168,0.190908,0.714525,-1.2188,0.328402,1.33735,35.0654,1.02195
169,0.332957,0.790576,-1.35605,0.662208,1.3055,3.87,1.12934
170,0.0356604,0.699942,-1.27052,-0.00789161,1.35119,921.174,0.999443
171,-0.0404141,0.602855,-0.789152,-0.300345,1.25214,3.62697,1.14008
172,-0.692351,0.582913,-1.59618,-0.823547,0.459927,22.4931,1.03204
173,0.0863035,1.08563,-1.89179,0.904615,0.904968,1.41239,1.6569
174,-0.42641,0.738599,-1.62758,-0.601803,1.02147,14.337,1.03809
175,0.558866,0.978059,-1.52058,1.22236,1.26417,1.65895,1.45846
176,0.489521,0.606095,-0.639185,0.553323,1.54937,615.899,1.00714
177,0.628855,0.766373,-0.904168,1.11016,1.24583,1.853,1.36945
178,-0.19085,0.685658,-1.29122,-0.240617,1.00583,1418.99,1.00099
179,1.09106,0.977165,-0.730331,1.8437,1.84408,1.39325,1.71381
180,0.400626,0.762733,-1.12473,0.710053,1.34295,4.11288,1.12129
181,0.994512,0.942864,-0.859311,1.6866,1.68675,1.47788,1.59698
182,0.0796914,1.03051,-0.782958,-0.782544,1.90435,1.23616,2.03441
183,1.08596,1.23417,-1.27411,2.09338,2.094,1.27334,1.91302
184,-0.249153,0.812082,-0.870445,-0.752445,1.40918,1.89111,1.35218
185,0.23209,0.519401,-0.792274,0.431378,0.936902,4.6695,1.10609
186,1.05769,0.991253,-0.96956,1.79267,1.79286,1.45587,1.61967
187,-0.201061,0.991321,-1.00439,-1.00423,1.7471,1.28827,1.8815
188,0.424266,0.72698,-0.2374,-0.0211393,1.91583,1.91374,1.34096
189,0.140457,0.829004,-1.49254,0.587036,0.962591,2.35485,1.23944
190,-0.490528,0.618265,-1.714,-0.285171,0.392548,5.93676,1.07746
191,-0.160768,0.616542,-1.22451,-0.186707,0.85952,1654.59,0.99789
192,-0.228796,0.811412,-1.22123,-0.599543,1.45305,3.2168,1.15915
193,0.0956262,0.653796,-1.06321,0.0539507,1.27985,1140.84,1.00055
194,-0.201695,0.756851,-0.818252,-0.674714,1.4787,1.90679,1.35841
195,-0.775918,0.783614,-1.6169,-1.15776,0.883043,2.84436,1.18608
196,0.348272,0.848927,-1.2909,0.819006,1.16907,2.3517,1.25813
197,-0.180703,0.846917,-1.70106,0.50287,0.503099,1.30094,1.86791
198,-0.827847,0.843128,-1.48855,-1.35882,0.886617,1.85652,1.36683
199,0.170524,0.727598,-1.41648,0.410133,1.1958,6.79603,1.07485
200,0.0967419,0.623044,-1.14174,0.310631,0.844899,5.82349,1.08252
201,0.307009,0.538901,-0.680151,0.432596,1.11189,25.6088,1.03432
202,0.96314,1.50862,-1.66345,2.28829,2.28872,1.16572,2.35923
203,-0.0216214,0.721546,-0.7839,-0.357576,1.52086,3.16063,1.16678
204,-0.287843,0.812542,-1.24684,-0.661843,1.34695,3.16412,1.16263
205,-0.477777,0.933401,-1.13996,-1.13975,1.34029,1.56843,1.5364
206,-0.154832,0.725215,-1.07563,-0.42326,1.30325,4.91399,1.09744
207,-0.00507686,0.79781,-0.855885,-0.409893,1.63555,2.65791,1.20629
208,-0.257155,0.64415,-0.841964,-0.596538,0.950293,2.58743,1.22625
209,1.34433,0.800837,-0.145771,1.86299,1.93316,1.7552,1.39779
210,-0.752697,0.658782,-1.70494,-0.968345,0.533068,6.79058,1.07563
211,-0.189358,0.88314,-1.79911,-0.245092,1.48697,1116.03,0.999387
212,0.675515,1.53982,-1.78981,2.08584,2.08623,1.11263,2.83804
213,0.654951,0.946295,-1.25244,1.28175,1.32036,1.70574,1.4304
214,0.37139,0.559479,-0.587059,0.350485,1.37055,980.226,1.00172
215,1.09862,0.93925,-0.778312,1.8158,1.81629,1.3919,1.69055
216,0.615089,0.914423,-1.20308,1.15042,1.42058,2.09367,1.29844
217,0.822338,1.12037,-1.25287,1.75478,1.75503,1.24774,1.99969
218,-0.457281,0.698397,-1.55968,-0.590696,0.867515,37.7807,1.0226
219,0.184506,0.817547,-1.11658,0.016302,1.73088,32.879,1.02614
220,-0.651746,1.05931,-1.4597,-1.45939,1.37588,1.39611,1.69051
221,0.463334,0.591657,-0.638062,0.534749,1.41764,725.936,1.00845
222,1.0991,0.740647,-0.444269,1.48241,1.83998,2.57212,1.21654
223,0.0209017,0.633977,-1.16412,0.0269508,1.11447,1573.86,0.996772
224,0.745807,0.711839,-0.745781,1.11439,1.41305,2.86954,1.2166
225,-0.00199116,0.594786,-1.09785,0.135256,0.828342,21.9269,1.03571
226,-0.618974,0.628654,-1.79007,-0.602386,0.579943,1666.89,0.997605
227,0.505712,0.660549,-0.843888,0.718123,1.4649,6.89172,1.07124
228,0.121102,0.59005,-1.0898,0.361561,0.805699,4.29554,1.12171
229,0.787802,1.58439,-2.03687,2.1618,2.16203,1.18469,2.24553
230,-0.878544,0.952779,-1.80472,-1.44804,1.02996,1.99937,1.31837
231,-0.29556,0.50932,-1.29076,-0.121023,0.439083,6.31646,1.08315
232,-0.494806,0.968475,-1.25296,-1.25271,1.36216,1.34966,1.76044
233,0.84544,0.600881,-0.416846,1.10967,1.52511,3.56511,1.1457
234,-0.19962,0.70535,-1.44218,-0.105351,0.890425,671.536,1.01035
235,-0.0648641,0.680176,-1.17685,-0.203118,1.16861,31.4184,1.02717
236,-0.465273,0.802047,-1.72279,-0.661819,1.12579,13.2635,1.0385
237,0.0304153,0.62648,-0.736334,-0.214075,1.24527,4.39302,1.1111
238,-0.871781,0.967797,-1.54576,-1.5453,1.09678,1.59274,1.49956
239,-0.0505822,0.661466,-0.865189,-0.308264,1.28866,4.28852,1.11
240,-0.186151,0.792689,-1.04951,-0.591646,1.41635,2.63135,1.21133
241,0.705077,1.14121,-1.54434,1.62404,1.62419,1.3077,1.85816
242,1.52489,1.18774,-0.583046,2.55474,2.555,1.18964,2.24538
243,-0.254487,0.720135,-1.01902,-0.565323,1.27823,3.65542,1.13899
