gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.30601,0.847412,0.863505,5.91714,1.03084
0.288643,0.888567,0.943325,5.91043,1.03372
0.307409,0.8685,0.867011,5.93136,1.03252
0.282496,0.862629,0.977269,5.91328,1.02897
0.28915,0.865514,0.940966,5.91249,1.03799
0.295826,0.874793,0.949089,5.91146,1.02573
0.298579,0.872728,0.861136,5.89337,1.03125
0.298125,0.878824,0.889407,5.91522,1.02801
0.294641,0.858925,0.889816,5.92771,1.02364
0.290378,0.877681,0.964132,5.92812,1.02014
0.291549,0.867726,0.874291,5.91287,1.04254
0.295205,0.870066,0.883536,5.91308,1.04016
0.29241,0.890695,0.889171,5.9253,1.02096
0.290525,0.890145,1.01311,5.89872,1.0354
0.296636,0.871727,0.842309,5.90567,1.04022
0.300732,0.885696,0.939325,5.91519,1.02444
0.280632,0.888408,0.840842,5.93272,1.01766
0.296675,0.866983,1.01357,5.91596,1.03004
0.283789,0.856909,0.821231,5.91853,1.02664
0.303964,0.869857,0.835092,5.91258,1.03575
0.293597,0.876934,0.964272,5.93126,1.04056
0.287968,0.862218,0.904657,5.91269,1.0304
0.303333,0.872293,0.852482,5.91534,1.03644
0.296753,0.878184,0.857536,5.91066,1.0269
0.305124,0.897417,0.831539,5.91439,1.0328
0.308803,0.855082,0.830577,5.92953,1.03004
0.288642,0.874101,0.820342,5.93141,1.02772
0.293204,0.86553,0.798054,5.90903,1.02562
0.275594,0.879882,0.919919,5.91164,1.03623
0.293504,0.870647,0.870527,5.91732,1.04265
0.30328,0.878047,0.789556,5.92074,1.02769
0.294835,0.870688,0.917893,5.90834,1.03022
0.284393,0.891578,0.681117,5.90752,1.04582
0.307143,0.861871,0.852103,5.91763,1.02777
0.283382,0.883503,0.833205,5.90925,1.03402
0.304277,0.872336,0.963954,5.91826,1.04147
0.294891,0.86581,0.812059,5.91742,1.03747
0.298829,0.883755,0.907743,5.92432,1.03037
0.281929,0.890985,0.947953,5.9122,1.02096
0.293807,0.880891,0.783228,5.92571,1.03652
0.297863,0.873278,0.870344,5.9199,1.03734
0.29889,0.870322,0.823492,5.92252,1.03554
0.292143,0.872379,0.81174,5.91208,1.03784
0.29663,0.874147,0.771225,5.9154,1.02956
0.292508,0.881191,0.876824,5.90824,1.03206
0.296987,0.866617,0.930872,5.92189,1.0361
0.298942,0.865255,0.95141,5.92218,1.03522
0.296086,0.887313,0.791963,5.8947,1.03902
0.294091,0.88316,0.851472,5.91305,1.031
0.291269,0.87162,0.813368,5.89915,1.03186
0.294903,0.870637,0.937823,5.92184,1.02855
0.290304,0.872973,0.81544,5.93308,1.04162
0.282698,0.859789,0.895433,5.90789,1.02189
0.305517,0.867143,0.863134,5.91349,1.03388
0.283334,0.875858,0.981446,5.91143,1.03201
0.281528,0.870427,0.892611,5.91458,1.034
0.28749,0.871325,0.733633,5.91425,1.02493
0.293366,0.869169,0.891004,5.92081,1.02989
0.289811,0.882282,1.0133,5.89795,1.0337
0.302359,0.86851,0.921289,5.91958,1.02776
0.292667,0.896727,0.839666,5.92087,1.03696
0.290925,0.884976,0.905212,5.91548,1.03174
0.299353,0.879464,0.939281,5.92464,1.03195
0.29349,0.888937,0.948105,5.91172,1.03917
0.304668,0.87944,0.952917,5.92212,1.03402
0.287665,0.864061,0.921573,5.91457,1.03279
0.290249,0.867574,0.936379,5.91976,1.02914
0.29654,0.862015,0.881074,5.9163,1.02025
0.285497,0.882928,0.866575,5.93384,1.03087
0.303262,0.889108,0.954557,5.91317,1.02466
0.287833,0.875961,0.9077,5.91649,1.03248
0.304705,0.870773,0.809929,5.91893,1.03059
0.287684,0.871545,0.963793,5.91027,1.02849
0.296145,0.886568,0.774326,5.90594,1.02836
0.277156,0.876991,0.934891,5.89778,1.03949
0.300784,0.881614,0.989557,5.92082,1.03322
0.302077,0.882106,0.894703,5.91385,1.03068
0.286005,0.886907,0.822661,5.92438,1.02726
0.297562,0.892453,1.00749,5.91007,1.03481
0.283398,0.883261,0.751732,5.918,1.03433
0.292143,0.871449,0.987479,5.92326,1.03618
0.300263,0.886271,0.858247,5.9153,1.03129
0.293842,0.858862,0.773602,5.91573,1.03203
0.295616,0.853674,0.870622,5.90064,1.02602
0.299638,0.884637,0.895988,5.92539,1.02281
0.287977,0.887215,0.831312,5.90479,1.02518
0.300692,0.891487,0.903703,5.91734,1.03005
0.284948,0.872807,0.951962,5.92828,1.03231
0.290947,0.881611,0.810261,5.90857,1.03605
0.295642,0.890325,0.82808,5.92174,1.04686
0.300647,0.87602,0.841741,5.92591,1.03673
0.306357,0.885464,0.832335,5.91273,1.03359
0.291649,0.848496,0.795218,5.9169,1.02817
0.304438,0.861699,0.892734,5.92353,1.03958
0.293651,0.873059,0.740978,5.9034,1.0265
0.29365,0.871946,0.808909,5.90592,1.03346
0.284287,0.873535,0.967711,5.91108,1.03193
0.287864,0.8623,0.786759,5.9182,1.03796
0.287136,0.888373,0.871544,5.92203,1.02395
0.289401,0.882251,0.867201,5.9167,1.03919
0.299858,0.882256,0.862443,5.91258,1.02703
0.303634,0.878119,0.853384,5.92014,1.03804
0.30491,0.884252,0.905747,5.90306,1.03479
0.293553,0.876827,0.945717,5.90431,1.02485
0.295066,0.894348,1.00599,5.92132,1.04668
0.283646,0.863414,0.85789,5.90841,1.04463
