,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[8841],-0.572135,0.00934769,0.243575,-1.06205,-0.490266,-0.33458,678.978,3.95359,0.997573
log_lik[8842],-0.408748,0.00528982,0.132807,-0.692837,-0.368504,-0.292539,630.32,3.67026,0.998435
log_lik[8843],-0.904812,0.0117287,0.289066,-1.28764,-0.940922,-0.403331,607.431,3.53698,1.00049
log_lik[8844],-0.660459,0.0130571,0.342641,-1.22053,-0.650744,-0.142201,688.631,4.0098,0.997463
log_lik[8845],-0.60931,0.0099569,0.278209,-1.15488,-0.531635,-0.337075,780.715,4.54599,0.997582
log_lik[8846],-0.389877,0.00387552,0.102155,-0.592801,-0.359331,-0.29309,694.806,4.04575,0.997203
log_lik[8847],-0.928165,0.0109718,0.301265,-1.30951,-0.999309,-0.373322,753.943,4.3901,1.00183
log_lik[8848],-0.481834,0.00748981,0.209873,-0.922201,-0.409021,-0.30294,785.182,4.572,0.997106
log_lik[8849],-0.358653,0.00442438,0.0833906,-0.524114,-0.336897,-0.277901,355.246,2.06855,1.00078
log_lik[8850],-0.559591,0.00953667,0.261297,-1.09032,-0.46834,-0.3144,750.718,4.37132,0.999753
log_lik[8851],-0.3733,0.00498441,0.113831,-0.59026,-0.337816,-0.277134,521.548,3.0369,0.998797
log_lik[8852],-0.386083,0.0061751,0.147373,-0.618186,-0.346015,-0.285329,569.569,3.31652,0.997016
log_lik[8853],-0.428266,0.00732201,0.191861,-0.781036,-0.364383,-0.28993,686.611,3.99804,0.998223
log_lik[8854],-0.44825,0.00728722,0.1877,-0.807654,-0.387281,-0.299273,663.445,3.86314,0.996776
log_lik[8855],-0.391649,0.0044148,0.0953389,-0.587539,-0.366171,-0.297369,466.357,2.71553,1.00041
log_lik[8856],-0.518201,0.00845226,0.2101,-0.957583,-0.446747,-0.326329,617.886,3.59786,0.997791
log_lik[8857],-0.429288,0.00758956,0.187646,-0.804167,-0.362622,-0.292189,611.289,3.55945,0.998667
log_lik[8858],-0.861681,0.0115452,0.370587,-1.59413,-0.779525,-0.418784,1030.33,5.99946,0.997129
log_lik[8859],-0.583797,0.010409,0.269999,-1.0949,-0.497179,-0.331214,672.834,3.91781,0.999411
log_lik[8860],-0.384392,0.00611999,0.139854,-0.636682,-0.341768,-0.279889,522.214,3.04078,0.998871
log_lik[8861],-0.655157,0.0139997,0.350066,-1.43029,-0.535864,-0.326668,625.264,3.64082,1.00073
log_lik[8862],-0.47728,0.00869152,0.222333,-0.993705,-0.396862,-0.294045,654.358,3.81023,0.998033
log_lik[8863],-1.00211,0.011837,0.317057,-1.39949,-1.06432,-0.385549,717.456,4.17764,1.00031
log_lik[8864],-0.532446,0.0132215,0.353162,-1.16917,-0.473515,-0.073448,713.488,4.15454,0.998495
log_lik[8865],-0.512462,0.00990049,0.272604,-1.13022,-0.409074,-0.297487,758.143,4.41456,0.997601
log_lik[8866],-0.539434,0.00903963,0.224328,-0.979555,-0.475252,-0.331343,615.835,3.58592,1.00375
log_lik[8867],-0.493781,0.0099249,0.218094,-0.953723,-0.415698,-0.30329,482.873,2.8117,0.99874
log_lik[8868],-0.457748,0.0082832,0.172747,-0.801519,-0.400027,-0.30375,434.938,2.53258,1.00185
log_lik[8869],-0.489201,0.00963057,0.287056,-1.0105,-0.435642,-0.116377,888.445,5.17329,0.999226
log_lik[8870],-0.449208,0.00732932,0.184573,-0.820708,-0.388183,-0.305261,634.176,3.69272,0.997678
log_lik[8871],-0.58295,0.0113038,0.309678,-1.23434,-0.469801,-0.309332,750.541,4.37029,0.997552
log_lik[8872],-0.928767,0.01393,0.322168,-1.34177,-0.991749,-0.330986,534.892,3.1146,0.997877
log_lik[8873],-0.417109,0.00725624,0.170038,-0.799659,-0.355727,-0.287221,549.123,3.19747,0.999195
log_lik[8874],-0.486959,0.0103563,0.256723,-1.00374,-0.396736,-0.293063,614.5,3.57814,1.00246
log_lik[8875],-0.524449,0.00898914,0.25,-1.081,-0.437803,-0.316156,773.47,4.50381,1.00055
log_lik[8876],-0.463017,0.00716833,0.183028,-0.805276,-0.4086,-0.302027,651.93,3.79609,0.998052
log_lik[8877],-0.846089,0.00947433,0.312054,-1.2913,-0.869393,-0.304687,1084.83,6.31682,1.00091
log_lik[8878],-0.415503,0.00633175,0.152519,-0.752481,-0.366184,-0.294301,580.228,3.37859,0.998991
log_lik[8879],-0.499643,0.00816962,0.227271,-0.969025,-0.416422,-0.309904,773.899,4.5063,1.00116
log_lik[8880],-0.574264,0.00986199,0.252495,-1.08511,-0.499498,-0.328373,655.503,3.8169,0.997564
log_lik[8881],-0.514909,0.0108747,0.261204,-1.08425,-0.410871,-0.298542,576.932,3.35939,1.00102
log_lik[8882],-0.847339,0.0118734,0.30785,-1.28519,-0.868802,-0.293455,672.25,3.91442,1.00272
log_lik[8883],-0.493099,0.0125656,0.280246,-1.0155,-0.390562,-0.297351,497.409,2.89634,0.997649
log_lik[8884],-0.39403,0.00610199,0.146407,-0.707472,-0.343584,-0.287415,575.683,3.35212,1.00062
log_lik[8885],-0.44238,0.0061945,0.157575,-0.765383,-0.392576,-0.304825,647.091,3.76792,0.9985
log_lik[8886],-0.455463,0.00608169,0.148129,-0.757396,-0.40698,-0.310028,593.237,3.45434,1.00241
log_lik[8887],-1.21469,0.0170962,0.508786,-2.19124,-1.09337,-0.542504,885.663,5.15709,1.00065
log_lik[8888],-0.830025,0.017498,0.392176,-1.33144,-0.885268,-0.147819,502.326,2.92497,0.999422
log_lik[8889],-0.994975,0.0101403,0.287152,-1.34308,-1.07344,-0.423458,801.906,4.66939,0.998682
log_lik[8890],-0.419119,0.00726903,0.159542,-0.746435,-0.361032,-0.290998,481.723,2.805,0.998555
log_lik[8891],-0.419076,0.00579199,0.162104,-0.731716,-0.356322,-0.292166,783.305,4.56108,0.999463
log_lik[8892],-0.368539,0.00557737,0.122848,-0.555382,-0.33408,-0.282249,485.152,2.82497,1.00348
log_lik[8893],-0.858037,0.00951919,0.290438,-1.26764,-0.886654,-0.317963,930.906,5.42053,0.999714
log_lik[8894],-0.514868,0.00795372,0.185041,-0.926948,-0.464895,-0.330368,541.248,3.15161,0.999362
log_lik[8895],-0.828475,0.00897994,0.299368,-1.27377,-0.861216,-0.281905,1111.38,6.47141,0.997763
log_lik[8896],-0.568544,0.0100466,0.276407,-1.09893,-0.471258,-0.314376,756.937,4.40754,0.997947
log_lik[8897],-0.885506,0.0114428,0.320341,-1.31131,-0.939223,-0.310594,783.717,4.56347,0.997388
log_lik[8898],-0.565056,0.0154254,0.359148,-1.2558,-0.429686,-0.299829,542.095,3.15654,1.00043
log_lik[8899],-0.724595,0.0117756,0.312667,-1.22384,-0.694766,-0.216145,705.008,4.10516,0.999209
log_lik[8900],-0.403029,0.00967784,0.170574,-0.728919,-0.345589,-0.281642,310.649,1.80886,1.00465
log_lik[8901],-0.466193,0.0087017,0.230583,-0.908402,-0.388441,-0.297395,702.179,4.08869,0.99703
log_lik[8902],-0.76049,0.0129445,0.314595,-1.23403,-0.786022,-0.221594,590.66,3.43933,1.00107
log_lik[8903],-0.520258,0.0116456,0.270398,-1.01786,-0.422376,-0.307008,539.117,3.1392,1.00317
log_lik[8904],-0.580691,0.00946771,0.251561,-1.09399,-0.513198,-0.320673,705.986,4.11085,0.999028
log_lik[8905],-0.437808,0.0047129,0.136726,-0.70429,-0.39226,-0.306822,841.642,4.90076,0.999563
log_lik[8906],-0.666552,0.0134973,0.316966,-1.1844,-0.646018,-0.186156,551.48,3.21119,0.998724
log_lik[8907],-0.600575,0.0145583,0.373571,-1.38193,-0.466289,-0.31186,658.457,3.8341,0.999592
log_lik[8908],-0.941597,0.0137369,0.357614,-1.36457,-1.04316,-0.264752,677.727,3.94631,1.00135
log_lik[8909],-0.575861,0.0112115,0.258438,-1.06572,-0.492404,-0.332397,531.359,3.09403,1.00137
log_lik[8910],-0.491495,0.00712416,0.199648,-0.900425,-0.41744,-0.310776,785.351,4.57299,1.00147
log_lik[8911],-0.429858,0.00957108,0.193584,-0.779351,-0.361846,-0.290407,409.087,2.38205,0.997854
log_lik[8912],-0.55172,0.00939647,0.235547,-1.00807,-0.485415,-0.334002,628.387,3.65901,0.99746
log_lik[8913],-0.445929,0.00507479,0.143989,-0.752691,-0.405821,-0.304408,805.055,4.68772,0.999132
log_lik[8914],-0.983813,0.0118219,0.326427,-1.36259,-1.09496,-0.321367,762.428,4.43951,1.00234
log_lik[8915],-0.494744,0.00989419,0.23728,-0.967998,-0.415181,-0.304856,575.126,3.34888,1.00001
log_lik[8916],-0.623318,0.012105,0.337737,-1.1963,-0.607086,-0.127593,778.45,4.5328,0.999842
log_lik[8917],-0.361081,0.00411691,0.0937095,-0.538203,-0.331574,-0.277982,518.113,3.0169,0.998535
log_lik[8918],-0.501589,0.00990174,0.235541,-0.952227,-0.417596,-0.302394,565.859,3.29491,1.001
log_lik[8919],-0.454584,0.00829278,0.17752,-0.842758,-0.394262,-0.30486,458.242,2.66828,0.998492
log_lik[8920],-0.6545,0.0113128,0.345784,-1.23532,-0.631692,-0.160167,934.261,5.44007,0.998847
log_lik[8921],-1.03519,0.0129487,0.327622,-1.40007,-1.15519,-0.365597,640.171,3.72762,0.997236
log_lik[8922],-0.696054,0.0152885,0.371551,-1.27753,-0.681717,-0.124384,590.622,3.43911,1.0008
log_lik[8923],-0.469147,0.00582301,0.156991,-0.809869,-0.424528,-0.315879,726.869,4.23245,0.999774
log_lik[8924],-1.12753,0.00952659,0.229039,-1.38793,-1.19731,-0.664279,578.023,3.36575,0.999094
log_lik[8925],-0.910399,0.0127856,0.327122,-1.32876,-0.984234,-0.315051,654.599,3.81164,0.998611
log_lik[8926],-0.415409,0.00733203,0.174023,-0.79085,-0.356087,-0.289324,563.334,3.28021,0.999856
log_lik[8927],-0.57922,0.00904894,0.263091,-1.07666,-0.498632,-0.327565,845.312,4.92213,0.997433
log_lik[8928],-0.595339,0.00976857,0.265568,-1.12431,-0.509477,-0.333539,739.075,4.30353,1.00025
log_lik[8929],-1.02955,0.0111669,0.300711,-1.36027,-1.12905,-0.389683,725.166,4.22254,1.00296
log_lik[8930],-0.419164,0.00748253,0.17105,-0.761507,-0.357249,-0.287142,522.577,3.04289,1.00802
log_lik[8931],-0.565119,0.00929417,0.254939,-1.08781,-0.482746,-0.325009,752.401,4.38112,0.999474
log_lik[8932],-0.640902,0.0123493,0.322779,-1.26229,-0.548791,-0.333633,683.166,3.97798,1.00349
log_lik[8933],-0.422499,0.00582908,0.158762,-0.733278,-0.364952,-0.289563,741.815,4.31948,0.998383
log_lik[8934],-0.923111,0.0112047,0.317293,-1.3171,-0.986389,-0.312657,801.896,4.66932,0.998957
log_lik[8935],-0.383328,0.0064902,0.136331,-0.646326,-0.342005,-0.283618,441.24,2.56928,0.996786
log_lik[8936],-0.514736,0.00993013,0.278224,-1.0339,-0.477437,-0.146065,785.018,4.57105,0.998263
log_lik[8937],-0.576007,0.0100807,0.280034,-1.07035,-0.565245,-0.170747,771.681,4.49339,0.997936
log_lik[8938],-0.997048,0.0109149,0.326092,-1.35221,-1.11122,-0.340745,892.572,5.19732,1.00209
log_lik[8939],-0.209552,0.00705694,0.15357,-0.490596,-0.168534,-0.0446737,473.563,2.75749,1.00464
log_lik[8940],-0.49016,0.00767652,0.224592,-0.826084,-0.430419,-0.300876,855.971,4.9842,0.999335
log_lik[8941],-0.402632,0.00560261,0.140776,-0.664342,-0.350492,-0.286831,631.362,3.67633,0.998707
log_lik[8942],-0.994215,0.00982557,0.312577,-1.3638,-1.09458,-0.354686,1012.04,5.89296,0.99706
log_lik[8943],-0.472432,0.0120881,0.32676,-1.11654,-0.388378,-0.0743235,730.702,4.25477,0.998068
log_lik[8944],-0.946732,0.00859944,0.253122,-1.29545,-0.982177,-0.497811,866.4,5.04492,0.998666
log_lik[8945],-1.06093,0.0102555,0.249261,-1.36256,-1.12195,-0.553897,590.735,3.43977,0.99844
log_lik[8946],-0.429628,0.00534267,0.140124,-0.686422,-0.384627,-0.300851,687.869,4.00536,0.997595
log_lik[8947],-0.787657,0.0102416,0.335526,-1.27973,-0.810259,-0.241863,1073.28,6.24957,0.998253
log_lik[8948],-0.475221,0.00719113,0.182127,-0.827429,-0.419584,-0.312817,641.435,3.73499,0.999853
log_lik[8949],-0.777564,0.0107529,0.30964,-1.21915,-0.78139,-0.253264,829.215,4.8284,0.996982
log_lik[8950],-0.824668,0.0127012,0.332661,-1.29412,-0.850941,-0.258262,685.988,3.99441,1.00072
log_lik[8951],-0.408816,0.00631134,0.151468,-0.738043,-0.3536,-0.288286,575.967,3.35377,1.00199
log_lik[8952],-0.669777,0.0112987,0.316364,-1.19661,-0.640368,-0.190869,784.003,4.56514,1.0067
log_lik[8953],-0.898839,0.0109144,0.325674,-1.32166,-0.949911,-0.305982,890.362,5.18445,0.997794
