"user_skill[1,1]","user_skill[2,1]","user_skill[3,1]","user_skill[1,2]","user_skill[2,2]","user_skill[3,2]","user_skill[1,3]","user_skill[2,3]","user_skill[3,3]","user_skill[1,4]","user_skill[2,4]","user_skill[3,4]","user_skill[1,5]","user_skill[2,5]","user_skill[3,5]","user_skill[1,6]","user_skill[2,6]","user_skill[3,6]","user_skill[1,7]","user_skill[2,7]","user_skill[3,7]","user_skill[1,8]","user_skill[2,8]","user_skill[3,8]","user_skill[1,9]","user_skill[2,9]","user_skill[3,9]"
-3.89242,-0.381757,0.770215,-2.32059,-0.677007,-0.607616,-1.64147,-1.34696,1.28239,-1.43337,-1.28976,-0.836245,-0.653945,-2.02315,-3.02453,0.523636,0.135304,0.674905,0.677188,0.00729125,-0.957595,2.92494,0.233524,2.37734,0.480983,1.37603,2.13597
-0.444156,-0.666704,-0.837233,-1.6415,0.902961,-2.89324,-0.457913,-0.0472214,-5.47513,-1.83735,-1.01422,-0.483945,-1.51415,-0.248802,0.880193,-3.06353,-0.00371487,-2.86595,-1.26226,-1.8194,-0.0116027,-1.83468,-0.772535,-1.59995,-0.336958,-0.976591,-1.67427
0.183616,1.15688,1.37886,-1.23523,-0.351246,-2.10133,-1.13974,-3.1183,-0.632019,-1.76851,-1.33353,-0.444516,-0.896967,-1.41715,-4.42104,1.66971,3.91802,2.33364,1.5983,0.761558,-3.07928,0.297219,-0.12573,0.24769,-1.2501,0.114828,0.244607
-1.75828,-1.45071,-1.45928,-1.36643,0.779417,-2.27718,-1.95813,-4.02285,-1.09561,-1.09544,-1.80512,-0.434254,-0.562779,-2.08909,-0.928092,0.307883,-0.631788,-0.501804,1.19169,2.45968,-0.925049,-0.826195,-0.854515,-1.17083,0.288089,0.0445814,-0.760296
2.25857,0.850513,0.655477,-2.09425,-1.77489,-2.32397,-0.209039,0.262516,-2.71016,-1.75982,-1.32323,-0.845496,-4.01742,-0.265204,0.056842,1.11825,1.43472,-1.68548,-1.06251,-1.65238,-1.54441,1.28864,0.560644,1.8954,0.867278,0.441718,0.975407
-3.70179,-1.13347,-1.77133,-0.848982,0.136754,-1.99867,-1.90116,-3.0965,-2.05452,-1.80694,-1.46488,-0.27245,-0.385335,-1.91071,-2.41251,-1.05535,-0.305361,2.29259,0.609474,0.724462,0.212507,-0.588982,0.28561,-3.38678,0.985236,0.40554,0.208691
-5.6177,-2.24638,-2.68584,-1.42243,0.168278,-2.14256,-0.370585,-3.12152,-2.42646,-1.85418,-1.173,-0.596521,-0.439014,-1.74836,-2.19954,-0.0218056,0.604844,0.827859,0.540083,0.968621,0.759424,0.235381,0.153166,-0.815572,1.41453,1.12097,1.03832
2.84085,1.32463,1.52909,-2.39107,-0.364892,-2.31541,-1.66774,-0.391287,-4.78703,-2.02006,-2.01352,-1.36324,-4.10678,-0.450916,0.373845,-0.629175,-0.804607,-1.40107,-1.22802,-1.94501,-2.10084,-0.0818877,0.698422,0.233419,3.60899,-8.18539,2.91366
-0.451262,-2.7371,-3.55097,-0.41531,-0.575248,-2.00199,-2.82544,-0.60636,-1.20797,-2.51074,-0.311391,-1.49498,-6.19621,-1.14739,-2.82979,-1.94294,0.262606,-3.21025,0.449527,1.09733,1.02565,1.27992,0.676471,0.60479,0.116155,0.442633,1.18079
-1.10826,-2.39869,-3.18408,-0.238799,-0.26019,-1.7468,-2.48837,-0.223896,-1.37019,-1.57623,-0.719576,-1.38435,-5.92817,-0.240245,-0.672609,0.462322,3.39332,-2.44821,-0.39254,0.13397,0.00106553,1.86278,0.817826,0.403321,-0.35931,0.0988854,0.66161
2.92225,-1.75619,-1.70209,-0.0873156,0.170672,-2.48222,-4.14375,-1.57425,-1.91465,-1.38019,-1.33882,-1.40869,-4.50357,-1.70012,-1.97095,-2.76348,-1.41703,-2.71758,-0.6532,-0.548317,-1.55992,2.75729,1.43038,1.21923,0.312346,0.280255,1.02983
0.643055,-0.684764,-0.628048,-1.81898,0.370839,-1.45885,-0.888973,1.14432,-2.91125,-1.29853,-1.67497,-1.37267,-3.53194,-3.95228,-0.226081,0.138718,-0.337233,0.0136338,-2.48523,-2.61483,-3.48854,3.63323,-0.435475,2.95369,0.939813,0.0999336,-0.669256
2.36477,-1.38292,2.43917,-2.48658,0.345963,-2.03097,-2.83272,-2.09176,-0.358133,-2.13805,-1.09491,-0.760564,-1.4053,-0.513476,0.83422,0.0684744,0.248862,0.584122,1.0301,1.21801,0.831226,-0.302577,-2.937,-1.06059,-0.406417,-2.59312,-1.95657
-1.01792,-2.16806,0.32688,-1.84423,0.808294,-1.04434,-3.93334,-1.02703,0.136435,-2.20251,-1.45849,-1.00824,-0.424339,-0.145526,0.169666,-1.64188,-0.967605,0.118647,0.694354,-0.438815,0.380565,1.9669,-1.05992,1.35398,2.25531,-6.08343,-3.93535
2.21893,1.14035,2.15804,-0.687008,-1.03694,-3.27484,-1.63873,-1.84374,-0.83446,-1.16934,-1.695,-0.925922,-1.78972,-0.764008,-1.12841,-0.688448,0.0977595,0.813807,-0.695916,-0.0163804,-1.65771,0.979329,0.409697,1.85122,-0.716052,-0.577633,-0.963517
-1.28985,0.837062,-0.514011,-1.73734,-0.284844,-0.945582,-4.5244,0.018777,-3.03758,-2.27167,-1.53543,-0.607123,-1.98849,-0.810587,-1.6988,3.09792,-2.67977,1.5863,3.97383,1.41182,0.772977,0.1564,0.207614,-0.978208,-1.29829,-1.36622,-1.5356
1.86931,-1.82589,-1.59053,-2.69942,-0.190182,-3.39268,1.66562,-3.98363,-1.07244,-1.42228,-1.88439,-0.479304,-1.84003,-2.28461,-0.883279,-5.64472,3.74132,-4.58827,-4.01066,-2.55852,-2.06334,-0.581387,0.239576,1.48847,1.06782,0.778897,1.68322
-0.615323,-1.1942,-2.28628,-1.11393,0.57328,-2.7757,-1.23394,-3.70741,-1.02735,-2.11103,0.0419035,-0.425067,-0.03398,-3.39303,-1.1849,-2.14332,3.48787,3.15901,1.64365,-1.76919,0.997391,-0.373605,1.14396,1.2273,0.167674,2.27286,0.930568
-0.999055,-0.128656,-0.0078379,-2.28364,-0.904703,-2.39175,-3.92104,-1.27147,-2.81873,-1.33882,-1.96417,-0.912578,-4.1884,0.49553,-2.42805,1.56973,-3.22206,-0.303203,0.55294,-0.880946,-0.138881,2.29579,0.573939,-0.208166,-1.05937,-1.14287,-1.42869
0.182858,-0.554964,-0.661226,-3.04662,0.319746,-3.65961,0.830972,-0.496199,-1.58472,-1.13636,-1.40995,-0.409729,1.59846,-0.226775,-3.31089,-2.45249,0.888234,-1.4239,-1.06703,-2.22643,-2.36382,-2.2375,-1.89164,-1.89814,-0.111544,-0.0527548,1.03902
-2.10999,-0.172365,-1.80333,-4.4718,-1.1271,-1.57549,0.774346,-0.568298,-3.27769,-1.56863,-1.28056,-0.0471434,-5.39758,0.420715,-5.05391,-0.757493,-2.35155,-0.722857,-0.36807,-1.18462,-2.19678,0.405134,0.125136,2.21387,-0.689018,-1.51557,1.80119
-1.61955,-0.938564,-1.37373,-1.00971,-0.578409,-4.61343,-2.06816,-2.69168,-2.15366,-1.68415,-2.13237,-0.216975,0.210034,0.961771,2.48716,8.67024,5.7108,3.92867,0.198938,0.644652,0.90394,-0.836144,-0.974741,-0.965354,1.12504,1.13351,-1.02493
-3.34311,-1.02313,-1.44803,-3.06698,0.268929,-3.99513,-1.90313,-0.542232,-2.94013,-2.07809,-1.45509,-0.707348,-1.30988,-4.84386,-0.31959,-0.409745,-0.481944,-0.115861,2.3321,-1.33599,-6.01375,-2.49284,-2.99821,-2.6887,2.32851,0.861477,0.100395
0.231618,0.00271459,0.0964474,-2.89266,1.02278,-1.03222,-0.739832,-1.55011,-0.880385,-1.88845,-0.724428,-0.917075,-1.80062,-0.547996,-2.04986,-0.593971,1.64054,0.749205,0.604303,1.3272,1.39649,1.70223,1.56026,2.08385,-3.71937,-2.58272,-1.7711
-0.880871,-0.392606,-1.08952,-0.184573,-1.731,-3.224,-2.0324,-1.55571,-2.5637,-1.62909,-1.85956,-0.998804,0.130063,0.163109,-1.16543,-0.754881,-1.41896,-1.63422,-3.27436,-4.11466,-4.28353,-2.42188,-0.76724,-1.83065,4.60204,0.581842,-0.778001
0.733797,0.414239,1.1873,-2.45051,-0.607023,-0.664957,-1.72243,-1.02255,-2.5504,-2.42239,-1.63487,-0.755478,-1.21142,-1.32271,-3.27312,-0.101439,1.01767,0.728275,0.885769,0.536951,0.842511,-0.31773,-0.0847973,0.092595,-2.83342,-1.71723,-0.374377
-0.580264,-1.11889,-0.582629,-3.07916,0.539881,-4.09689,-1.48595,-0.877262,-2.11378,-1.86496,-1.68357,-1.32418,-2.92199,0.240656,0.0474053,0.540152,0.389814,-0.420807,-1.06815,-0.110831,-2.62377,1.28693,1.22105,1.23522,0.803006,-1.4907,-1.82306
-0.516145,-0.0155608,-0.460408,-4.09672,-0.925185,-1.84934,-1.45793,-2.2178,-1.81158,-1.84576,-2.16031,-1.41548,-0.409379,-1.12751,-2.31767,-1.11406,-0.61615,-0.445066,-0.132279,-0.896362,0.223172,-0.452633,-0.294682,-1.31358,-1.78415,1.54229,1.98998
0.23929,-5.08185,9.60253,-3.17538,1.08284,-3.68862,-1.3617,-1.41874,-3.16537,-2.11261,-1.19716,-1.44667,-3.38413,-0.281135,0.637394,-1.42813,-4.08622,-0.911755,-1.78079,-2.78345,0.594031,1.62228,1.79039,1.59644,1.14269,-2.58078,-0.33459
