gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.190435,0.721272,0.959317,5.83713,0.98896
0.189936,0.731549,1.05863,5.83116,0.987695
0.199181,0.741203,1.0589,5.8166,0.978103
0.191001,0.735348,0.98438,5.83975,0.991939
0.192485,0.734592,0.989261,5.8343,0.982658
0.188058,0.721581,0.915512,5.83608,0.990065
0.191378,0.745688,0.966906,5.83777,0.98261
0.193299,0.737533,0.964014,5.83577,0.986628
0.195319,0.734762,1.02701,5.83372,0.98523
0.195774,0.732285,0.975041,5.83169,0.987163
0.19123,0.716384,0.92481,5.83244,0.980867
0.193523,0.738344,0.904338,5.83386,0.992063
0.197282,0.731162,1.00602,5.82928,0.990797
0.194295,0.740558,0.969487,5.8277,0.986474
0.194655,0.724838,0.954866,5.83822,0.986854
0.187921,0.730545,0.990781,5.83068,0.984683
0.190621,0.720881,0.964806,5.84141,0.988516
0.193529,0.721262,0.790441,5.82758,0.989155
0.187807,0.718651,0.943684,5.83301,0.985498
0.194113,0.72852,0.883576,5.83165,0.991382
0.191358,0.743397,0.797306,5.82985,0.9932
0.190664,0.725838,0.923011,5.83842,0.98361
0.194208,0.732059,0.938418,5.83115,0.9866
0.197001,0.71842,1.01277,5.82686,0.986853
0.196227,0.711025,0.803016,5.83082,0.988006
0.194461,0.73696,0.907668,5.82747,0.986715
0.195231,0.7329,0.982305,5.82639,0.994836
0.190227,0.711805,0.913543,5.83652,0.984758
0.192184,0.735883,0.965615,5.82888,0.987314
0.195894,0.745387,0.972082,5.83717,0.986054
0.198105,0.732341,0.950525,5.82763,0.98908
0.187034,0.727116,0.909462,5.83323,0.987692
0.194915,0.731623,0.985164,5.82596,0.989438
0.196082,0.723841,0.913975,5.83046,0.991949
0.195111,0.74017,0.963915,5.8371,0.991569
0.1856,0.722999,0.933764,5.83706,0.991007
0.1933,0.75254,0.8975,5.82656,0.985308
0.194296,0.73954,0.951251,5.82523,0.989063
0.189528,0.738649,0.854502,5.83936,0.984142
0.196755,0.734439,0.953415,5.83018,0.984685
0.189513,0.721516,1.07998,5.83393,0.98365
0.195541,0.733015,0.844924,5.83382,0.983326
0.190376,0.73103,0.921065,5.83774,0.982902
0.196774,0.711982,0.927672,5.83562,0.986327
0.192497,0.726007,1.02091,5.82984,0.978625
0.202663,0.724237,0.868318,5.83403,0.992628
0.191064,0.719189,0.879116,5.82599,0.990549
0.189819,0.734071,0.918113,5.83233,0.99012
0.187661,0.725143,0.954251,5.83454,0.991406
0.18867,0.747263,0.944801,5.83514,0.989451
0.188007,0.731477,1.01397,5.8385,0.983154
0.188391,0.736734,0.979769,5.83284,0.99108
0.194256,0.724915,0.963252,5.83178,0.981058
0.18847,0.730394,0.84959,5.83699,0.986394
0.19228,0.735161,0.897729,5.8327,0.982648
0.191694,0.727524,0.950933,5.83445,0.990427
0.201599,0.731073,1.00106,5.84221,0.985489
0.197453,0.738491,0.907491,5.82976,0.988783
0.186686,0.716008,0.935551,5.84827,0.98326
0.185096,0.739063,0.997095,5.83243,0.986623
0.193267,0.743327,0.890807,5.84152,0.989782
0.192914,0.73814,0.950103,5.83759,0.988348
0.191122,0.743017,0.950983,5.83158,0.989002
0.185701,0.741896,0.912503,5.82729,0.996737
0.191404,0.721706,0.928365,5.83744,0.988013
0.193448,0.728408,0.896497,5.82862,0.992622
0.193233,0.730446,0.841339,5.82596,0.992682
0.194335,0.730042,0.972854,5.82934,0.987714
0.19866,0.72586,0.955485,5.8408,0.98269
0.195165,0.727285,0.827382,5.84187,0.99088
0.197699,0.718904,0.98677,5.8362,0.986849
0.191382,0.72917,0.908359,5.84414,0.986064
0.188848,0.732228,0.908135,5.83414,0.987503
0.193869,0.731929,0.902696,5.84785,0.988471
0.196909,0.731018,0.950289,5.82346,0.985177
0.19616,0.729674,0.926849,5.83504,0.980947
0.189804,0.721048,0.966791,5.84358,0.993938
0.194381,0.722414,0.945571,5.82841,0.979753
0.190887,0.727043,0.951447,5.83626,0.982557
0.191597,0.750662,0.897404,5.83442,0.98649
0.198032,0.726018,0.886194,5.81658,0.987302
0.19002,0.740348,1.01753,5.83919,0.982496
0.196474,0.734276,0.995855,5.83499,0.986017
0.189586,0.743615,0.911227,5.83696,0.987202
0.194525,0.735346,1.00203,5.83184,0.990923
0.199115,0.739314,0.994263,5.82996,0.983621
0.190283,0.732561,1.00146,5.8346,0.985561
0.196138,0.719499,0.968658,5.83686,0.98843
0.193041,0.723238,0.947851,5.83106,0.992809
0.191668,0.737962,0.907846,5.835,0.98643
0.194999,0.728042,0.985135,5.82659,0.991601
0.195459,0.723004,0.911536,5.82943,0.988222
0.191334,0.725065,0.908758,5.82418,0.994439
0.19906,0.739244,1.01275,5.82849,0.98727
0.194597,0.739079,0.871576,5.82768,0.991821
0.19181,0.731224,0.943725,5.83472,0.991773
0.196541,0.734892,0.973724,5.83483,0.993989
0.188491,0.730572,0.916325,5.82058,0.988256
0.190008,0.730505,0.898295,5.83289,0.986644
0.189532,0.723931,0.926605,5.83671,0.981797
0.196828,0.732308,0.990707,5.83293,0.98777
0.192648,0.733762,0.93239,5.83788,0.987044
0.191379,0.720152,0.885458,5.83321,0.985753
0.183413,0.725449,0.875054,5.83306,0.989893
0.19551,0.746597,0.932949,5.84038,0.990976
0.190637,0.712392,0.944953,5.8253,0.986216
0.19489,0.733002,1.09032,5.83521,0.994018
0.186845,0.723113,0.873006,5.82446,0.984373
0.194546,0.727783,1.0261,5.8324,0.990364
0.193551,0.732889,0.889347,5.836,0.991489
0.194349,0.735082,0.916194,5.82734,0.987765
0.192743,0.739404,0.857352,5.8319,0.991421
0.190385,0.72922,0.917296,5.83134,0.987503
0.195552,0.724749,0.995976,5.8291,0.987982
0.189348,0.711512,0.964771,5.8393,0.983533
0.189039,0.713829,1.02489,5.83593,0.993178
0.186766,0.714506,0.90841,5.83419,0.986431
0.190587,0.720645,0.907445,5.84233,0.989934
0.190318,0.720191,0.933648,5.82594,0.994859
0.192261,0.716339,0.979352,5.83218,0.987662
0.188427,0.709674,0.952592,5.83626,0.986662
0.189884,0.721207,0.851916,5.83143,0.992447
0.194903,0.725355,0.89031,5.82113,0.984969
0.192183,0.72947,0.946551,5.82833,0.992959
0.194207,0.729081,1.00829,5.83487,0.985791
0.192902,0.726375,0.985718,5.83509,0.990443
0.190067,0.718265,0.866979,5.8282,0.992473
0.193162,0.724776,0.941514,5.83378,0.99407
0.196354,0.731623,0.944231,5.82642,0.984282
0.188721,0.735158,0.881253,5.84341,0.989091
0.190633,0.730597,0.932739,5.83028,0.985754
0.189571,0.736042,0.995584,5.82845,0.9892
0.195711,0.738188,0.928796,5.84382,0.987374
0.191332,0.749519,0.944248,5.83835,0.985703
0.194765,0.707989,0.97235,5.82967,0.98426
0.195006,0.748989,0.959678,5.83358,0.987319
0.19272,0.723877,0.920024,5.83482,0.991418
0.18925,0.706537,1.01128,5.83451,0.984221
0.194343,0.75576,0.921275,5.84542,0.979235
0.187128,0.712389,0.958257,5.82782,0.985187
0.191854,0.728941,0.957796,5.82692,0.991921
0.189324,0.746695,0.923395,5.84064,0.989419
0.190013,0.733283,0.886283,5.82565,0.986823
0.181072,0.729797,0.928834,5.82657,0.985098
0.190655,0.73277,1.02707,5.8322,0.992038
0.19336,0.736187,1.01419,5.82712,0.978307
0.19324,0.748436,0.972817,5.8262,0.981866
0.191073,0.736665,0.861802,5.83378,0.986276
0.1924,0.721999,0.919759,5.84051,0.985302
0.190332,0.730968,0.990158,5.83463,0.98692
0.194501,0.729814,1.01719,5.83844,0.997228
0.191512,0.729266,1.00154,5.82703,0.98182
0.187617,0.721313,0.80516,5.83237,0.996002
0.1952,0.727451,0.882251,5.82978,0.991716
0.188996,0.708474,0.974205,5.83406,0.991382
0.202608,0.747784,0.854362,5.8287,0.986558
0.19377,0.725264,0.954472,5.83108,0.992373
0.193175,0.741678,0.950427,5.82393,0.985774
0.193976,0.727118,0.910632,5.83792,0.991846
0.190964,0.739112,0.968163,5.82698,0.986088
0.189872,0.73121,0.991889,5.83654,0.994152
0.198524,0.733205,0.992307,5.83294,0.990635
0.188061,0.729367,0.981775,5.83487,0.983694
0.193197,0.729154,0.961589,5.83174,0.987982
0.193928,0.722977,0.95877,5.83006,0.997423
0.19382,0.742893,1.01219,5.83041,0.990763
0.192476,0.734589,1.02132,5.82169,0.987054
0.198001,0.714855,0.959044,5.83765,0.989674
0.194387,0.733635,1.02368,5.83125,0.985926
0.191649,0.735867,0.978912,5.83432,0.983466
0.195599,0.72563,0.958761,5.83564,0.992064
0.195688,0.732225,1.04525,5.82368,0.987242
0.191015,0.732291,0.869635,5.83886,0.98169
0.192648,0.726693,0.889201,5.81964,0.993295
0.194429,0.73508,0.908777,5.82784,0.987647
0.199809,0.721303,0.989084,5.83149,0.995461
0.191955,0.70508,0.966922,5.83066,0.981108
0.197605,0.729976,0.866193,5.82893,0.989183
0.188741,0.733212,0.992807,5.8253,0.986478
0.192761,0.721068,0.947718,5.83227,0.991757
0.188225,0.720641,0.946942,5.83117,0.985566
0.187432,0.728218,0.950273,5.8354,0.986547
0.188877,0.731465,0.96423,5.8281,0.987855
0.192965,0.721684,0.961807,5.84391,0.984265
0.193785,0.730007,0.878929,5.82434,0.993617
0.193614,0.734834,1.02197,5.826,0.985364
0.199327,0.727474,0.96088,5.82975,0.99582
0.19003,0.736834,0.941995,5.83737,0.9833
0.190942,0.720325,0.930785,5.83364,0.985554
0.196821,0.725782,1.08893,5.83982,0.986492
0.197014,0.725502,0.969666,5.83636,0.989582
0.193662,0.724431,0.894481,5.83693,0.988703
0.189093,0.729414,0.889844,5.83444,0.986312
0.197312,0.736021,0.992825,5.83065,0.993379
0.190028,0.721143,0.914284,5.83476,0.993557
0.191191,0.728534,0.968269,5.84347,0.992131
0.189618,0.738145,1.00417,5.83242,0.984054
0.199659,0.728746,0.98023,5.81981,0.993253
0.189999,0.735521,0.971068,5.83612,0.983912
0.189458,0.726277,1.00139,5.83771,0.993552
0.195801,0.73213,0.995713,5.83743,0.988556
0.19509,0.732947,0.954128,5.8315,0.979585
0.193398,0.72468,0.965743,5.83914,0.98968
0.189413,0.719364,0.924467,5.83342,0.985511
0.191278,0.720461,0.842882,5.83065,0.994234
0.196964,0.733816,0.865439,5.83339,0.993947
0.192868,0.711708,0.932224,5.82687,0.993601
0.189942,0.723283,0.961125,5.8328,0.990885
0.188161,0.731576,0.839392,5.82561,0.987372
0.184537,0.72404,0.961,5.82663,0.987657
0.194001,0.739223,0.986574,5.83341,0.990566
0.194031,0.724712,1.02815,5.83591,0.983401
0.189433,0.724885,0.908904,5.81924,0.981887
0.191516,0.727822,0.963713,5.82815,0.992057
0.196689,0.726519,0.96211,5.83685,0.984924
0.191965,0.727714,0.878646,5.82904,0.981569
0.18985,0.724052,0.944321,5.82776,0.990286
0.190953,0.721356,1.01205,5.82048,0.985297
0.200231,0.732381,0.896828,5.82817,0.987026
0.193022,0.725059,0.987627,5.82606,0.986047
0.188391,0.711437,0.925364,5.83232,0.990282
0.198383,0.727952,0.86941,5.83257,0.987373
0.192434,0.73704,0.923876,5.8294,0.991827
0.190061,0.729921,0.96869,5.83279,0.99525
0.195044,0.736292,0.973685,5.83751,0.986671
0.194201,0.740162,0.944285,5.83335,0.988265
0.192687,0.74887,1.00633,5.82988,0.989602
0.197207,0.74243,0.985879,5.82096,0.989839
0.195884,0.743151,0.856715,5.83017,0.982843
0.18811,0.726398,0.908905,5.83095,0.982589
0.198759,0.719763,1.00432,5.83339,0.990316
0.190067,0.726353,0.898188,5.83923,0.986539
0.196327,0.724989,0.975664,5.8256,0.982312
0.198987,0.72257,0.910373,5.82861,0.990429
0.193094,0.729829,0.818726,5.83954,0.99201
0.192247,0.736674,0.897735,5.83115,0.990703
0.193771,0.740264,0.920938,5.83318,0.986798
0.193989,0.729632,0.949336,5.83698,0.989955
0.187853,0.712647,0.906556,5.82307,0.993786
0.196448,0.721651,1.00137,5.83496,0.98631
0.186901,0.754059,0.992833,5.82254,0.985367
0.194041,0.726233,0.945649,5.83173,0.985015
0.191616,0.716015,0.904608,5.82751,0.987479
0.187756,0.728639,0.942827,5.82674,0.986618
0.188418,0.71563,0.922783,5.83685,0.9838
0.197164,0.738451,0.930657,5.82852,0.994216
0.188959,0.734034,0.916808,5.83118,0.985318
0.193545,0.723978,0.828525,5.83839,0.98613
0.19291,0.726405,0.861418,5.83688,0.992181
0.193094,0.723557,0.987156,5.83493,0.995969
0.187551,0.741286,0.92453,5.83297,0.985895
0.188681,0.73481,1.02161,5.82583,0.991143
0.20221,0.728596,0.904682,5.84003,0.978336
0.199174,0.72305,0.949674,5.84167,0.994422
0.193818,0.732422,0.965125,5.8416,0.984387
0.19103,0.730867,0.925015,5.82873,0.987526
0.192505,0.739567,0.921686,5.84227,0.98773
0.190907,0.724405,0.996382,5.83216,0.991822
0.197761,0.727226,0.927119,5.83292,0.989166
0.185682,0.701046,0.965263,5.83241,0.98155
0.194827,0.710281,0.922349,5.83948,0.982723
0.194779,0.71721,0.971195,5.83593,0.991509
0.189913,0.731446,0.9058,5.83257,0.983374
0.19522,0.73118,0.952495,5.83754,0.987359
0.18438,0.746725,0.937896,5.82349,0.987055
0.189685,0.730217,0.917351,5.83672,0.996798
0.196908,0.714343,0.967925,5.82757,0.977063
0.193908,0.727676,0.921704,5.84084,0.989272
0.189481,0.733355,0.968216,5.83841,0.995622
0.193769,0.720016,1.02801,5.83473,0.989553
0.191831,0.714795,1.03998,5.83252,0.986763
0.182069,0.728769,0.977458,5.82114,0.987263
0.197457,0.727703,0.996653,5.83858,0.987095
0.194651,0.721191,0.901217,5.82953,0.992942
0.190294,0.755586,0.991934,5.82509,0.990658
0.191997,0.728245,0.829607,5.83203,0.984328
0.194044,0.754284,0.937404,5.83129,0.989029
0.192638,0.708944,0.887,5.8374,0.99338
0.198279,0.742017,0.961863,5.82751,0.983175
0.189506,0.734968,0.919241,5.83568,0.984532
0.197003,0.73576,0.919219,5.82424,0.983322
0.194153,0.736453,0.866763,5.82743,0.981625
0.193557,0.735527,0.885499,5.84543,0.990101
0.203135,0.74259,1.00144,5.83129,0.992294
0.195878,0.729153,0.999148,5.83321,0.990787
0.198529,0.72365,0.909379,5.83368,0.995024
0.191028,0.731477,0.998974,5.82739,0.984516
0.192428,0.748189,0.936969,5.84152,0.987909
0.192079,0.711861,0.980924,5.83258,0.989385
0.189519,0.719657,0.95234,5.82776,0.989907
0.193909,0.733127,0.866057,5.84368,0.98135
0.194346,0.729001,1.02783,5.83801,0.990834
0.191906,0.72381,0.986395,5.84068,0.982981
0.189873,0.719768,0.894799,5.83364,0.98357
0.188313,0.716743,0.818978,5.82656,0.988685
0.195112,0.720727,1.00061,5.83554,0.990477
0.196985,0.740992,0.956642,5.83962,0.989039
0.192764,0.716765,0.942032,5.82948,0.986991
0.19213,0.729291,1.04091,5.82726,0.988848
0.191819,0.729243,0.908033,5.82926,0.98928
0.199372,0.733729,0.881173,5.83133,0.980154
0.198526,0.724023,0.949464,5.82897,0.989054
0.189742,0.732352,1.00213,5.82627,0.977694
0.186601,0.73169,0.903765,5.84317,0.984821
0.192703,0.725269,0.973087,5.83184,0.990243
0.194977,0.726249,0.941509,5.83308,0.993698
0.195234,0.721206,0.896184,5.83792,0.979741
0.192052,0.724458,0.989279,5.82823,0.988435
0.186377,0.723006,0.97931,5.84462,0.99239
0.1967,0.724033,0.978233,5.83481,0.990976
0.18693,0.712577,0.910424,5.83542,0.989684
0.193393,0.746439,0.916095,5.82991,0.987716
0.193345,0.728398,0.960963,5.82503,0.993734
0.188569,0.735951,0.847778,5.83709,0.989566
0.193803,0.734319,0.916202,5.83685,0.983884
0.191944,0.731678,0.898838,5.83746,0.994119
0.191455,0.716196,0.944737,5.83049,0.986257
0.192873,0.729795,0.980905,5.81982,0.988318
0.186663,0.724636,1.00971,5.83596,0.985451
0.190506,0.719523,0.831704,5.83284,0.988685
